Orientation Sensor Raw Data Test

Current Temperature: 28 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
time	eul_z	eul_y	eul_x	linA_x	linA_y	linA_z	cal_sys	cal_gyr	cal_acc	cal_mag
106	3.25	5.19	26.37	-2.05	14.62	6.68	0	0	0	3
106	16.31	-2.56	21.44	2.91	13.50	1.75	0	0	0	3
106	30.25	-5.19	12.44	6.04	8.87	1.87	0	0	0	3
108	42.56	-9.88	2.94	9.24	4.51	2.77	0	0	0	3
108	47.00	-12.94	-10.50	10.43	-1.92	3.95	0	0	0	3
106	36.44	-5.38	-18.56	4.16	-7.46	2.90	0	0	0	3
107	18.50	8.44	-18.19	-1.04	-3.82	1.38	0	0	0	3
106	354.00	25.31	-8.88	-1.71	-0.90	2.20	0	0	0	3
106	337.31	28.62	5.50	-2.56	-2.03	3.54	0	0	0	3
106	326.06	21.19	17.94	-3.52	1.89	4.45	0	0	0	3
106	334.19	13.63	18.00	-4.69	6.38	5.33	0	0	0	3
107	358.63	10.38	17.37	-2.22	9.22	4.33	0	0	0	3
108	19.31	10.50	16.50	-0.14	9.14	1.65	0	0	0	3
106	33.00	4.31	13.56	1.20	7.31	1.36	0	0	0	3
107	45.25	-3.19	10.25	5.25	7.11	0.94	0	0	0	3
106	53.31	-8.88	1.06	9.11	5.56	0.40	0	0	0	3
106	53.25	-10.81	-8.63	8.76	0.90	1.62	0	0	0	3
106	40.81	-5.75	-18.00	4.30	-4.50	3.29	0	0	0	3
107	25.87	5.88	-19.12	0.69	-4.96	2.06	0	0	0	3
107	4.69	20.94	-8.31	-0.18	-1.28	1.17	0	0	0	3
108	346.50	28.75	9.00	-3.39	-2.49	2.22	0	0	0	3
108	343.25	23.31	23.81	-8.57	-0.99	5.51	0	0	0	3
106	351.81	12.75	27.69	-7.69	6.87	10.00	0	0	0	3
106	12.88	6.19	28.56	-3.15	9.82	8.73	0	0	0	3
106	31.94	4.13	30.94	-0.55	10.10	3.97	0	0	0	3
107	47.50	-1.75	29.75	1.74	9.35	1.13	0	0	0	3
108	58.13	-10.25	24.06	6.48	6.81	1.13	0	0	0	3
108	64.31	-15.50	13.19	9.58	4.08	1.80	0	0	0	3
106	63.88	-15.56	0.06	8.86	1.15	3.27	0	0	0	3
107	49.69	-6.94	-12.38	5.34	-1.62	4.70	0	0	0	3
106	25.44	7.56	-12.31	1.01	-1.31	3.25	0	0	0	3
106	358.13	17.62	-4.50	-0.42	-0.03	2.16	0	0	0	3
106	337.19	20.31	6.06	-3.10	-0.42	3.74	0	0	0	3
106	332.63	16.81	11.13	-6.38	2.87	5.26	0	0	0	3
107	178.38	13.50	13.13	-7.20	6.38	4.24	0	0	0	3
108	191.81	6.69	14.69	-5.28	7.41	2.27	0	0	0	3
107	207.94	3.88	14.75	-2.25	8.19	0.41	0	0	0	3
107	226.75	3.88	12.50	0.38	8.11	-1.38	0	0	0	3
106	243.50	7.06	6.81	3.89	7.66	-2.03	1	0	0	3
106	254.81	8.81	-2.00	5.83	5.02	-0.95	0	0	0	0
106	261.44	6.75	-11.69	4.98	1.42	1.48	0	0	0	3
108	264.63	5.13	-19.19	2.85	-0.69	2.63	0	0	0	3
106	263.25	3.88	-24.81	2.36	-0.30	2.09	0	0	0	3
107	256.69	4.75	-32.81	3.26	-0.40	2.60	0	0	0	3
108	242.13	9.13	-36.06	2.90	-2.50	3.86	0	0	0	3
106	228.88	12.69	-30.81	2.28	-3.27	2.62	0	0	0	3
106	218.31	12.31	-20.44	2.37	-1.56	0.47	0	0	0	3
106	213.56	8.56	-12.31	1.38	1.27	-0.52	0	0	0	3
106	207.38	5.69	-5.25	0.72	3.98	-0.62	0	0	0	3
108	198.06	3.81	2.94	1.04	6.88	-1.72	0	0	0	3
108	195.31	7.31	2.63	-1.60	7.28	-2.35	0	0	0	3
106	189.81	7.56	2.31	-4.97	6.54	0.05	1	0	0	3
107	179.06	11.00	-1.75	-8.47	5.55	3.57	2	0	0	3
106	164.63	14.19	-11.19	-11.21	1.09	3.82	2	0	0	3
106	153.06	14.81	-17.19	-9.18	-3.61	1.62	2	0	0	3
106	150.31	10.81	-26.37	-5.21	-7.39	2.30	1	0	0	3
106	161.75	10.19	-17.06	-3.83	-6.18	4.51	1	0	0	3
108	176.13	8.81	7.25	-2.65	3.41	5.07	1	0	0	3
108	201.50	4.44	16.81	1.96	11.66	2.83	1	0	0	3
107	218.81	-0.50	14.75	3.90	10.26	0.92	1	0	0	3
106	231.50	-3.44	10.75	3.61	6.25	1.34	0	0	0	3
106	240.88	-7.75	3.44	6.41	4.24	2.06	0	0	0	3
106	247.56	-11.44	-9.06	8.85	0.62	2.83	0	0	0	3
106	242.56	-11.06	-24.44	6.51	-5.39	5.13	0	0	0	3
108	229.56	-3.00	-27.31	3.07	-7.45	4.35	0	0	0	3
106	218.69	0.88	-21.12	2.85	-3.88	-0.28	0	0	0	3
107	211.31	0.50	-11.25	1.75	1.55	-1.15	0	0	0	3
108	209.81	1.69	-3.81	-3.28	6.44	0.25	0	0	0	3
106	209.44	3.38	0.56	-5.52	9.44	-0.05	0	0	0	3
106	201.69	8.94	-3.69	-7.35	8.15	0.53	0	0	0	3
106	183.63	11.13	-6.50	-10.84	2.67	2.72	1	0	0	3
107	165.44	14.31	-12.94	-11.01	-2.09	3.02	1	0	0	3
108	155.44	14.50	-18.12	-7.00	-6.09	2.51	1	0	0	3
108	162.94	11.50	-22.56	-3.52	-9.64	2.72	1	0	0	3
106	174.94	5.63	-6.75	-4.30	-6.52	4.31	1	0	0	3
108	185.81	1.12	12.94	-1.14	5.80	5.00	0	0	0	3
106	205.81	0.31	17.62	5.15	13.08	2.70	0	0	0	3
106	218.75	-1.94	15.75	4.43	10.28	0.61	1	0	0	3
106	228.00	-8.63	8.94	3.93	7.09	0.91	0	0	0	0
107	235.00	-12.31	-1.88	8.42	3.33	2.83	0	0	0	3
106	237.00	-12.75	-14.25	8.72	-2.73	3.83	0	0	0	3
108	227.13	-4.19	-26.62	4.32	-6.33	5.08	0	0	0	3
108	211.44	5.69	-23.12	1.07	-7.87	2.34	0	0	0	3
106	202.31	5.19	-8.81	1.84	-2.63	-0.75	0	0	0	3
106	201.94	3.63	-0.56	0.35	6.46	1.20	0	0	0	3
106	203.88	10.06	3.31	-4.32	12.26	0.74	0	0	0	3
107	195.63	18.31	0.88	-8.57	11.35	1.31	0	0	0	3
108	172.31	21.44	-2.75	-12.41	4.48	4.27	0	0	0	3
108	154.06	21.19	-10.13	-12.14	-2.35	4.09	0	0	0	3
106	150.00	17.87	-19.25	-7.98	-9.03	2.91	0	0	0	3
109	166.06	9.81	-16.62	-5.65	-7.84	5.18	0	0	0	3
106	184.13	8.00	5.63	-3.70	4.11	7.41	0	0	0	3
106	206.13	7.13	20.19	0.36	13.38	4.42	0	0	0	3
106	222.63	0.37	22.06	2.78	12.56	0.89	0	0	0	3
109	235.25	-3.13	15.88	3.81	6.81	0.27	0	0	0	0
106	244.25	-5.88	9.38	6.53	2.88	0.27	0	0	0	3
108	244.19	-7.44	-0.44	7.03	0.13	1.22	0	0	0	3
108	237.50	-3.25	-8.69	4.05	-2.85	2.29	0	0	0	3
107	224.81	4.13	-10.56	0.83	-4.18	2.23	0	0	0	3
106	213.31	9.25	-6.56	-1.87	-4.08	1.57	0	0	0	3
107	204.94	9.06	0.44	-3.00	-2.80	0.55	0	0	0	3
107	204.19	7.31	3.63	-1.33	0.26	0.59	0	0	0	3
107	205.56	8.63	2.69	0.79	3.15	0.55	0	0	0	3
107	204.06	7.69	0.44	-0.22	2.70	0.15	0	0	0	3
109	202.00	7.06	-0.50	-1.26	1.37	0.47	0	0	0	3
107	200.69	7.44	0.50	-0.76	0.87	0.59	0	0	0	3
106	199.75	7.44	0.63	-0.69	0.05	0.51	0	0	0	3
107	199.94	4.81	-1.63	-0.80	-0.09	0.37	0	0	0	3
106	199.31	3.75	-0.25	-0.22	-0.19	0.15	0	0	0	3
108	199.63	1.44	0.06	0.08	-0.38	0.12	0	0	0	3
108	199.88	1.44	1.31	-0.17	0.02	0.10	0	0	0	3
108	199.88	1.31	1.31	-0.23	0.15	0.14	0	0	0	3
106	199.88	1.19	1.19	-0.21	0.12	0.17	0	0	0	3
107	199.88	1.12	1.19	-0.16	0.05	0.18	0	0	0	3
107	199.88	1.06	1.19	-0.14	0.04	0.19	0	0	0	3
106	199.88	1.06	1.19	-0.11	0.02	0.17	0	0	0	3
108	199.94	1.06	1.19	-0.11	0.01	0.13	0	0	0	3
108	199.88	1.06	1.31	-0.11	0.02	0.13	0	0	0	3
106	199.88	1.06	1.31	-0.14	0.05	0.17	0	0	0	3
107	199.88	1.06	1.31	-0.13	0.03	0.19	0	0	0	3
106	199.88	1.00	1.31	-0.07	-0.01	0.23	0	0	0	3
106	199.88	1.06	1.31	-0.08	-0.02	0.25	0	0	0	3
107	199.94	1.06	1.31	-0.09	-0.00	0.19	0	0	0	3
108	199.94	1.00	1.31	-0.08	0.01	0.12	0	0	0	3
106	199.94	1.12	1.44	-0.11	0.01	0.14	0	0	0	3
107	199.94	1.06	1.37	-0.13	0.03	0.16	0	0	0	3
108	199.94	1.06	1.37	-0.14	0.04	0.15	0	0	0	3
106	199.88	1.06	1.44	-0.16	0.04	0.15	0	0	0	3
106	199.88	1.06	1.50	-0.15	0.02	0.18	0	0	0	3
107	199.88	1.06	1.50	-0.10	-0.01	0.20	0	0	0	3
106	199.88	1.12	1.50	-0.09	0.01	0.16	0	0	0	3
107	199.88	1.12	1.56	-0.08	0.05	0.13	0	0	0	3
107	199.88	1.12	1.56	-0.10	0.05	0.13	0	0	0	3
106	199.88	1.12	1.56	-0.12	0.04	0.14	0	0	0	3
108	199.88	1.12	1.56	-0.14	0.06	0.17	0	0	0	3
106	199.88	1.12	1.56	-0.15	0.06	0.20	0	0	0	3
107	199.88	1.12	1.56	-0.13	0.04	0.23	0	0	0	3
107	199.88	1.12	1.50	-0.13	0.04	0.23	0	0	0	3
107	199.88	1.19	1.50	-0.14	0.07	0.13	0	0	0	3
106	199.88	1.19	1.50	-0.14	0.07	0.07	0	0	0	3
108	199.88	1.19	1.50	-0.13	0.04	0.13	0	0	0	3
108	199.88	1.19	1.50	-0.15	0.02	0.17	0	0	0	3
106	199.88	1.25	1.56	-0.15	0.03	0.20	0	0	0	3
107	199.81	1.37	1.63	-0.13	0.05	0.21	0	0	0	3
106	199.81	1.56	1.75	-0.13	0.06	0.21	0	0	0	3
106	199.75	1.56	1.75	-0.14	0.03	0.21	0	0	0	3
108	199.19	1.56	1.75	-0.24	0.05	0.15	0	0	0	3
