Orientation Sensor Raw Data Test

Current Temperature: 31 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
time	eul_z	eul_y	eul_x	linA_x	linA_y	linA_z	cal_sys	cal_gyr	cal_acc	cal_mag
49	330.75	-4.50	-3.25	0.22	-0.18	-1.35	0	0	0	0
49	331.00	-4.56	-3.88	0.10	-0.47	-0.56	0	0	0	0
51	332.13	-4.88	-4.81	0.11	-0.64	-0.12	0	0	0	0
49	332.38	-4.94	-4.88	-0.04	-0.77	0.29	0	0	0	0
51	332.81	-5.06	-5.06	-0.22	-0.80	0.47	0	0	0	0
49	333.19	-5.13	-5.25	-0.39	-0.78	0.43	0	0	0	0
50	333.56	-5.38	-5.13	-0.37	-0.96	0.31	0	0	0	0
50	333.75	-5.75	-5.06	-0.44	-0.60	0.07	0	0	0	0
50	333.88	-5.88	-5.13	-0.32	-0.42	-0.04	0	0	0	0
50	334.13	-6.25	-5.38	-0.23	-0.45	-0.06	0	0	0	0
52	334.19	-6.56	-5.50	-0.22	-0.40	-0.02	0	0	0	0
51	334.19	-6.63	-5.69	-0.20	-0.38	-0.01	0	0	0	0
51	334.31	-6.56	-5.81	-0.25	-0.40	0.02	0	0	0	0
51	334.56	-6.50	-6.06	-0.40	-0.47	-0.05	0	0	0	0
49	335.06	-6.56	-6.56	-0.43	-0.43	-0.22	0	0	0	0
52	335.31	-6.38	-7.56	-0.16	-0.43	-0.22	0	0	0	0
51	334.19	-5.19	-9.44	0.47	-0.62	-0.16	0	0	0	0
50	331.63	-3.44	-10.88	1.14	-1.18	0.03	0	0	0	0
49	328.44	-1.69	-11.63	1.64	-2.22	0.40	0	0	0	0
50	324.06	0.81	-10.94	1.42	-3.55	1.08	0	0	0	1
49	320.69	2.13	-8.56	0.49	-5.09	1.75	0	0	0	1
49	320.25	2.75	-4.75	-1.66	-5.36	2.41	0	0	0	1
48	324.75	1.69	-1.50	-3.95	-4.61	2.56	0	0	0	1
49	331.13	0.25	1.00	-6.04	-2.59	2.37	0	0	0	1
48	337.44	-1.50	3.31	-6.94	0.44	1.98	0	0	0	1
47	341.50	-2.88	4.56	-6.97	3.95	1.46	0	0	0	1
49	347.31	-3.56	5.94	-5.95	6.05	0.95	0	0	0	1
47	352.50	-4.13	6.88	-4.68	7.05	0.60	0	0	0	1
48	356.25	-5.75	7.75	-2.94	7.58	0.22	0	0	0	1
48	359.50	-7.19	7.56	-1.29	7.23	0.11	0	0	0	1
48	2.25	-8.50	6.56	0.43	6.31	-0.12	0	0	0	1
46	4.69	-10.19	4.38	2.21	5.66	-0.26	0	0	0	1
46	6.44	-11.94	1.19	4.10	5.04	0.02	0	0	0	1
46	6.88	-13.38	-1.81	5.66	4.38	0.39	0	0	0	1
47	7.13	-14.75	-6.75	6.67	2.82	1.12	0	0	0	1
46	4.25	-15.69	-11.19	6.86	1.50	1.80	0	0	0	1
48	0.12	-14.31	-15.44	5.95	-0.18	2.60	0	0	0	1
49	353.81	-11.94	-18.44	4.54	-2.76	3.11	0	0	0	1
52	344.94	-6.75	-18.50	2.38	-4.96	3.18	0	0	0	1
49	337.38	-2.50	-16.44	0.41	-6.22	2.11	0	0	0	1
50	328.31	0.37	-11.56	-1.20	-7.23	1.67	0	0	0	1
50	323.81	1.88	-7.38	-3.05	-8.22	1.49	0	0	0	1
49	323.75	0.12	-0.88	-4.82	-6.35	1.26	0	0	0	1
48	326.56	-0.19	2.69	-6.48	-4.13	1.82	0	0	0	1
50	331.56	-2.13	6.81	-7.65	-0.57	2.72	0	0	0	1
49	337.44	-4.63	8.94	-8.20	3.24	2.96	0	0	0	1
48	344.69	-4.81	9.50	-7.57	6.99	2.49	0	0	0	1
47	348.31	-5.81	9.56	-6.48	9.10	2.00	0	0	0	1
48	353.75	-7.31	8.88	-4.49	9.88	1.27	0	0	0	1
48	358.50	-9.13	7.69	-2.05	9.77	0.62	0	0	0	1
47	4.00	-10.38	5.00	1.10	8.92	0.36	0	0	0	1
46	7.13	-11.31	1.81	4.54	8.07	0.40	0	0	0	1
46	8.25	-14.13	-3.38	7.69	6.38	0.87	0	0	0	1
48	4.63	-15.31	-10.25	9.52	4.32	1.78	0	0	0	1
47	359.50	-15.06	-14.81	9.93	0.74	3.13	0	0	0	1
50	350.19	-10.44	-16.25	7.82	-2.25	3.94	0	0	0	2
51	342.06	-3.38	-14.81	4.39	-4.78	3.82	0	0	0	2
50	333.69	2.63	-11.75	1.19	-6.32	3.14	0	0	0	2
48	325.75	5.50	-6.81	-1.45	-7.67	2.47	0	0	0	2
50	322.13	5.44	-0.75	-4.30	-7.20	1.95	0	0	0	2
49	323.69	4.75	4.31	-6.40	-5.38	1.86	0	0	0	2
47	328.88	4.06	7.88	-7.66	-3.06	2.64	0	0	0	2
48	334.88	2.81	9.81	-8.68	0.32	3.74	0	0	0	2
47	342.31	2.63	11.00	-9.15	4.07	3.81	0	0	0	2
48	351.94	2.94	11.31	-8.91	7.27	3.17	0	0	0	2
47	358.44	0.19	12.13	-7.55	8.91	2.04	0	0	0	2
48	3.44	-1.75	11.50	-5.15	10.21	1.27	0	0	0	2
48	6.94	-6.19	10.00	-2.31	10.54	0.28	0	0	0	2
48	9.38	-9.19	5.13	1.65	10.51	0.48	0	0	0	2
46	9.38	-12.63	-1.56	5.84	9.28	1.06	0	0	0	2
47	6.38	-14.38	-7.63	8.99	7.07	2.12	0	0	0	2
47	0.88	-14.13	-14.88	10.05	3.04	3.44	0	0	0	2
48	349.69	-11.38	-17.81	9.59	-1.01	4.91	0	0	0	2
51	340.38	-3.81	-17.06	6.43	-4.14	4.95	0	0	0	2
50	333.06	4.50	-14.75	2.23	-6.15	4.20	0	0	0	2
50	323.13	9.13	-8.88	-1.38	-7.29	3.24	0	0	0	2
48	317.00	10.25	-2.31	-4.29	-6.49	2.08	0	0	0	2
50	316.38	8.31	2.94	-6.43	-4.51	1.19	0	0	0	2
48	319.44	5.56	6.31	-7.35	-2.29	1.41	0	0	0	2
47	324.31	3.13	7.50	-7.62	0.06	2.14	0	0	0	2
47	331.69	-0.19	8.31	-7.88	2.86	2.68	0	0	0	2
48	340.00	-2.63	8.13	-7.62	5.52	2.88	0	0	0	2
48	347.06	-6.63	9.00	-6.61	7.27	2.57	0	0	0	2
48	353.13	-8.69	8.69	-5.47	7.76	2.00	0	0	0	2
48	359.38	-11.25	8.19	-3.87	8.44	1.35	0	0	0	2
49	2.06	-15.19	6.88	-1.29	8.90	1.13	0	0	0	2
47	4.94	-16.37	3.06	1.62	8.80	0.94	0	0	0	2
45	6.56	-16.75	-1.50	4.23	7.65	1.05	0	0	0	2
47	6.44	-16.37	-8.63	6.79	6.54	1.26	0	0	0	2
47	4.00	-15.00	-16.56	8.54	3.55	2.07	0	0	0	2
47	358.50	-12.75	-21.12	8.65	0.42	3.17	0	0	0	2
50	350.81	-6.63	-23.75	7.27	-2.42	4.12	0	0	0	2
51	344.13	1.12	-24.19	4.04	-4.98	4.29	0	0	0	2
49	336.38	6.56	-22.69	1.01	-7.29	3.92	0	0	0	2
48	327.56	8.88	-17.44	-1.38	-7.53	3.17	0	0	0	2
50	322.44	7.94	-11.56	-3.61	-7.24	2.34	0	0	0	2
50	321.50	4.63	-6.69	-4.71	-5.80	1.76	0	0	0	2
49	323.75	2.00	-2.56	-4.88	-3.22	2.30	0	0	0	2
49	327.44	0.12	-0.88	-5.06	-0.44	3.07	0	0	0	2
49	331.75	0.12	1.06	-6.02	2.61	2.83	0	0	0	2
47	336.63	-0.50	2.06	-6.39	5.19	1.93	0	0	0	2
47	342.06	-3.81	3.31	-6.22	6.74	1.13	0	0	0	2
48	347.56	-6.56	3.81	-5.34	7.44	0.02	0	0	0	2
48	353.19	-8.31	3.50	-4.17	7.92	-0.64	0	0	0	2
49	358.19	-9.75	2.81	-1.78	7.99	-0.52	0	0	0	2
48	1.81	-11.06	1.12	1.13	7.87	-0.17	0	0	0	2
48	5.44	-11.94	-2.50	4.02	7.49	0.35	0	0	0	2
47	6.56	-14.25	-7.75	6.66	6.39	0.70	0	0	0	2
46	3.56	-16.00	-13.63	8.59	4.52	1.37	0	0	0	2
48	358.50	-15.31	-17.87	8.68	1.47	2.47	0	0	0	3
50	349.25	-11.44	-21.56	7.28	-1.77	3.70	0	0	0	3
52	340.38	-4.38	-21.44	4.31	-4.49	3.72	0	0	0	3
48	333.25	1.63	-19.44	1.18	-6.76	3.24	0	0	0	3
50	325.25	4.88	-14.50	-1.50	-7.95	2.50	0	0	0	3
50	321.00	6.19	-8.50	-4.04	-7.47	2.14	0	0	0	3
49	322.44	4.56	-2.88	-5.94	-5.69	1.83	0	0	0	3
48	325.81	4.06	1.31	-7.19	-2.87	2.36	0	0	0	3
48	332.81	2.94	3.38	-8.07	0.40	3.32	0	0	0	3
47	339.50	2.25	5.06	-9.25	4.18	2.93	0	0	0	3
46	346.75	1.94	5.75	-8.83	6.76	2.15	0	0	0	3
47	353.38	-0.12	7.00	-7.61	9.13	1.16	0	0	0	3
49	359.06	-2.50	6.63	-5.44	9.79	-0.06	0	0	0	3
49	3.44	-4.31	5.19	-2.83	10.15	-0.63	0	0	0	3
47	7.25	-4.69	2.63	0.60	10.12	-0.45	0	0	0	3
47	10.63	-6.88	-2.13	4.74	9.41	-0.09	0	0	0	3
48	9.69	-10.31	-7.50	8.02	6.86	0.65	0	0	0	3
46	6.38	-12.00	-13.00	9.77	4.36	1.38	0	0	0	3
49	359.38	-11.88	-19.00	9.94	0.43	2.18	0	0	0	3
49	347.88	-7.19	-20.44	8.06	-2.80	2.91	0	0	0	3
51	338.81	-1.06	-20.94	4.35	-5.15	2.91	0	0	0	3
49	328.63	3.75	-18.00	1.07	-5.82	2.61	0	0	0	3
49	319.19	6.75	-13.50	-1.21	-6.51	2.58	0	0	0	3
50	314.38	8.25	-8.81	-3.83	-5.87	2.70	0	0	0	3
49	313.69	6.00	-2.00	-5.18	-4.57	3.01	0	0	0	3
48	318.81	4.31	2.13	-6.50	-2.16	3.38	0	0	0	3
48	325.06	3.56	3.81	-8.02	0.17	3.47	0	0	0	3
48	332.75	2.63	6.00	-9.26	3.36	3.03	0	0	0	3
47	341.31	3.06	6.50	-8.85	7.21	2.29	0	0	0	3
46	348.13	0.00	7.75	-7.15	9.52	1.21	0	0	0	3
47	352.50	-1.63	7.69	-4.86	10.71	0.36	0	0	0	3
49	357.25	-3.13	6.56	-2.09	10.76	0.22	0	0	0	3
48	359.44	-5.00	4.63	1.23	10.61	0.17	0	0	0	3
48	2.94	-4.81	0.63	4.64	8.89	0.11	0	0	0	3
45	4.31	-5.13	-2.56	6.82	7.87	-0.11	0	0	0	3
47	4.94	-5.81	-9.06	8.32	5.18	0.64	0	0	0	3
45	0.00	-8.56	-13.13	8.85	2.84	0.95	0	0	0	3
48	351.19	-7.75	-17.94	7.75	-0.10	2.03	0	0	0	3
50	343.56	-3.00	-21.06	4.98	-2.86	2.92	0	0	0	3
49	333.81	2.75	-18.44	1.85	-5.59	3.77	0	0	0	3
49	326.31	6.50	-15.00	-0.60	-6.70	3.28	0	0	0	3
51	321.31	7.69	-9.94	-3.06	-7.41	3.00	0	0	0	3
48	319.13	6.44	-3.88	-5.00	-6.75	2.59	0	0	0	3
49	321.44	3.56	0.88	-5.86	-3.95	2.09	0	0	0	3
48	324.56	1.81	3.63	-6.57	-0.97	2.36	0	0	0	3
48	330.00	0.88	4.25	-7.06	2.02	2.70	0	0	0	3
46	336.06	-0.31	5.75	-7.03	5.30	2.55	0	0	0	3
48	341.31	-2.38	6.81	-6.36	7.52	1.76	0	0	0	3
48	347.38	-3.25	7.06	-5.59	8.14	1.00	0	0	0	3
49	351.56	-5.31	7.13	-3.74	8.29	0.05	0	0	0	3
46	355.94	-8.25	6.44	-1.68	8.49	-0.49	0	0	0	3
50	0.81	-8.88	3.94	1.16	8.29	-0.69	0	0	0	3
46	5.00	-8.88	-0.50	4.18	7.70	-0.41	0	0	0	3
46	6.69	-9.94	-5.13	7.10	6.47	-0.10	0	0	0	3
47	4.38	-11.81	-11.50	8.81	4.72	0.66	0	0	0	3
48	358.88	-12.38	-17.69	8.88	2.51	1.69	0	0	0	3
50	352.13	-9.88	-23.00	7.14	-0.81	3.10	0	0	0	3
49	342.69	-4.19	-25.00	4.32	-3.41	3.72	0	0	0	3
50	332.06	2.25	-22.31	1.62	-4.11	3.89	0	0	0	3
50	323.00	7.00	-16.75	-0.76	-4.72	3.86	0	0	0	3
50	317.88	10.25	-11.38	-2.45	-4.83	3.33	0	0	0	3
50	316.31	11.13	-5.38	-3.66	-3.62	2.69	0	0	0	3
50	317.44	8.94	1.00	-4.38	-2.16	2.38	0	0	0	3
48	318.88	8.31	4.38	-5.48	-0.68	2.50	0	0	0	3
48	324.38	6.75	6.75	-6.43	0.86	2.49	0	0	0	3
46	328.88	4.75	9.75	-6.92	3.33	2.51	0	0	0	3
48	336.63	3.00	11.38	-6.50	5.16	2.03	0	0	0	3
48	341.63	1.06	12.38	-5.57	6.96	1.60	0	0	0	3
47	348.25	0.37	11.94	-4.15	7.76	0.95	0	0	0	3
48	354.94	-1.31	11.75	-2.17	8.39	0.21	0	0	0	3
49	359.69	-3.88	10.38	0.45	7.85	-0.44	0	0	0	3
49	3.38	-3.94	7.13	2.68	7.50	-0.50	0	0	0	3
46	5.44	-4.56	4.13	4.65	6.13	-0.57	0	0	0	3
45	5.94	-4.63	0.25	6.22	4.61	-0.57	0	0	0	3
46	5.06	-4.56	-2.81	6.68	2.59	0.13	0	0	0	3
45	1.31	-5.88	-5.31	6.43	0.71	0.85	0	0	0	3
47	356.75	-4.44	-6.94	5.25	-0.77	1.25	0	0	0	3
49	354.06	-1.69	-8.13	3.34	-2.10	1.93	0	0	0	3
49	349.56	2.06	-8.19	1.15	-2.86	2.58	0	0	0	3
47	346.13	4.38	-6.25	-0.59	-2.60	2.29	0	0	0	3
49	344.88	5.50	-4.38	-2.26	-2.01	1.73	0	0	0	3
50	343.75	5.81	-3.06	-2.88	-1.35	1.22	0	0	0	3
47	343.38	6.00	-2.38	-2.84	-0.28	0.74	0	0	0	3
50	343.50	5.94	-2.25	-2.20	0.42	0.37	0	0	0	3
48	343.69	5.81	-2.13	-1.57	0.69	0.31	0	0	0	3
48	343.63	5.56	-1.81	-0.88	0.91	0.45	0	0	0	3
47	344.00	5.06	-1.37	-0.38	0.68	0.37	0	0	0	3
48	201.19	4.81	-0.94	-0.14	0.44	0.25	0	0	0	3
48	201.00	4.44	-0.81	-0.15	0.30	0.03	0	0	0	3
48	200.69	4.25	-0.37	-0.05	0.15	-0.03	0	0	0	3
48	200.31	4.06	-0.25	-0.09	0.14	-0.08	0	0	0	3
50	200.81	3.75	-0.50	-0.18	0.09	0.08	0	0	0	3
48	200.63	3.44	-0.63	-0.23	0.10	0.11	0	0	0	3
47	200.75	2.25	-1.06	-0.17	0.07	-0.01	0	0	0	3
49	200.19	1.81	-1.25	-0.21	0.31	-0.09	0	0	0	3
49	199.56	2.31	-1.56	-0.14	0.12	0.02	0	0	0	3
48	199.88	2.50	-1.63	-0.19	0.08	0.03	0	0	0	3
47	199.31	2.81	-1.19	-0.30	0.15	0.05	3	0	0	3
48	199.13	2.94	-0.75	-0.38	0.30	0.31	3	0	0	3
49	198.88	3.06	-0.31	-0.44	0.19	0.39	3	0	0	3
47	199.00	2.75	0.06	-0.50	0.31	0.19	3	0	0	3
47	199.50	2.88	0.88	-0.54	0.25	0.12	3	0	0	3
47	199.38	3.19	2.06	-0.40	0.16	0.03	3	0	0	3
47	199.13	4.13	2.13	-0.27	0.43	0.10	3	0	0	3
46	200.69	5.13	1.06	-0.13	0.05	0.07	3	0	0	3
47	201.94	6.25	1.37	-0.16	0.01	0.15	3	0	0	3
47	202.00	6.81	1.75	0.24	0.33	0.50	3	0	0	3
45	202.25	5.81	1.94	0.20	0.38	0.66	3	0	0	3
46	202.50	5.94	2.25	0.06	0.03	0.52	3	0	0	3
47	202.94	6.44	2.63	0.04	0.24	0.62	3	0	0	3
45	203.31	6.94	3.56	-0.00	0.28	0.64	3	0	0	3
47	203.56	7.06	4.13	-0.26	0.14	0.32	3	0	0	3
47	203.63	6.38	4.38	-0.27	0.04	0.18	3	0	0	3
47	203.06	5.88	4.56	-0.16	0.08	0.23	3	0	0	3
46	203.06	5.69	4.56	-0.15	0.15	0.20	3	0	0	3
47	203.19	5.38	4.75	-0.03	0.13	0.22	3	0	0	3
47	202.50	4.19	4.75	-0.18	0.10	0.15	3	0	0	3
47	202.00	3.44	4.81	-0.07	0.15	0.25	3	0	0	3
46	200.88	1.69	4.63	-0.16	0.20	0.20	3	0	0	3
47	200.56	0.37	3.88	-0.30	0.19	0.14	3	0	0	3
47	200.88	0.00	3.75	-0.32	0.16	0.08	3	0	0	3
47	201.06	0.37	3.88	-0.27	0.25	0.19	3	0	0	3
47	201.63	0.81	3.94	-0.30	0.22	0.24	3	0	0	3
47	202.00	0.81	3.94	-0.25	0.08	0.34	3	0	0	3
46	202.13	0.75	4.63	-0.04	0.06	0.53	3	0	0	3
47	202.13	-0.94	4.19	0.25	0.21	0.38	3	0	0	3
47	202.25	-1.69	3.69	0.21	0.16	0.34	3	0	0	3
46	203.13	-2.38	2.81	0.21	0.23	0.20	3	0	0	3
47	203.50	-2.50	2.31	0.23	0.24	-0.05	3	0	0	3
48	203.44	-1.88	3.06	0.23	0.12	-0.04	3	0	0	3
49	203.06	-2.06	3.13	-0.15	0.13	0.04	3	0	0	3
47	202.69	-1.94	3.50	-0.17	0.08	-0.00	3	0	0	3
49	202.25	-1.69	4.38	-0.21	-0.06	0.04	3	0	0	3
49	201.88	-1.63	4.31	-0.27	-0.03	0.12	3	0	0	3
48	201.75	-1.19	3.69	-0.42	0.16	-0.22	3	0	0	3
50	201.38	0.00	4.19	-0.34	0.03	-0.15	3	0	0	3
47	201.13	0.75	4.38	-0.37	0.03	-0.26	3	0	0	3
49	200.75	2.00	4.81	-0.35	0.13	-0.28	3	0	0	3
47	200.63	3.06	5.75	-0.20	0.09	-0.03	3	0	0	3
48	201.56	3.31	5.56	-0.22	0.02	0.11	3	0	0	3
47	202.00	3.81	5.00	-0.28	0.07	0.06	3	0	0	3
46	202.38	4.75	4.94	-0.23	0.08	0.29	3	0	0	3
47	202.50	5.25	5.00	-0.17	0.13	0.36	3	0	0	3
47	202.63	5.50	5.00	-0.27	0.13	0.27	3	0	0	3
48	202.56	5.63	5.13	-0.19	0.19	0.29	3	0	0	3
45	202.44	5.69	5.50	-0.13	0.17	0.42	3	0	0	3
47	202.44	5.69	5.31	-0.13	0.22	0.33	3	0	0	3
48	202.50	5.44	5.19	-0.20	0.19	0.34	3	0	0	3
46	202.50	5.13	5.06	-0.22	0.22	0.29	3	0	0	3
47	202.44	4.88	5.06	-0.23	0.21	0.30	3	0	0	3
47	202.50	4.63	5.00	-0.25	0.18	0.24	3	0	0	3
47	202.56	4.25	4.50	-0.28	0.20	0.18	3	0	0	3
46	202.63	4.31	4.31	-0.26	0.17	0.13	3	0	0	3
47	202.56	4.44	4.25	-0.23	0.18	0.15	3	0	0	3
47	202.38	4.63	3.94	-0.23	0.16	0.13	3	0	0	3
46	202.19	4.63	3.56	-0.21	0.19	0.14	3	0	0	3
47	202.00	4.56	3.00	-0.17	0.18	0.19	3	0	0	3
47	201.88	4.56	2.88	-0.17	0.18	0.20	3	0	0	3
47	201.88	4.56	2.94	-0.18	0.21	0.17	3	0	0	3
47	201.94	4.44	3.00	-0.18	0.19	0.21	3	0	0	3
47	201.88	4.44	3.00	-0.18	0.14	0.18	3	0	0	3
47	201.88	4.31	2.88	-0.18	0.11	0.17	3	0	0	3
46	201.88	4.25	2.88	-0.16	0.12	0.16	3	0	0	3
47	201.88	4.13	2.88	-0.16	0.07	0.19	3	0	0	3
47	201.94	4.00	2.81	-0.13	0.06	0.17	3	0	0	3
47	201.94	3.94	2.81	-0.12	0.10	0.20	3	0	0	3
46	202.00	3.81	2.75	-0.11	0.09	0.17	3	0	0	3
47	202.00	3.69	2.69	-0.13	0.07	0.15	3	0	0	3
47	202.00	3.69	2.69	-0.12	0.11	0.12	3	0	0	3
47	202.00	3.56	2.63	-0.14	0.12	0.07	3	0	0	3
47	202.06	3.44	2.50	-0.14	0.11	0.05	3	0	0	3
47	202.06	3.44	2.50	-0.14	0.11	0.03	3	0	0	3
46	202.06	3.31	2.44	-0.13	0.09	0.07	3	0	0	3
47	202.00	3.31	2.44	-0.13	0.07	0.08	3	0	0	3
47	202.00	3.31	2.44	-0.12	0.08	0.16	3	0	0	3
46	202.00	3.25	2.44	-0.12	0.07	0.17	3	0	0	3
47	202.00	3.25	2.31	-0.12	0.07	0.22	3	0	0	3
47	202.06	3.13	2.31	-0.12	0.07	0.21	3	0	0	3
47	202.06	3.06	2.31	-0.11	0.07	0.21	3	0	0	3
47	202.13	2.94	2.19	-0.12	0.08	0.19	3	0	0	3
47	202.13	2.94	2.19	-0.12	0.04	0.18	3	0	0	3
47	202.13	2.94	2.19	-0.11	0.03	0.15	3	0	0	3
46	202.13	2.94	2.13	-0.12	0.02	0.13	3	0	0	3
47	202.19	2.88	2.13	-0.12	0.01	0.12	3	0	0	3
47	202.19	2.81	2.13	-0.10	0.00	0.12	3	0	0	3
46	202.19	2.81	2.06	-0.10	0.03	0.10	3	0	0	3
47	202.25	2.75	2.06	-0.11	0.06	0.07	3	0	0	3
47	202.25	2.75	2.06	-0.10	0.06	0.11	3	0	0	3
48	202.25	2.75	2.00	-0.10	0.07	0.12	3	0	0	3
46	202.25	2.81	2.00	-0.09	0.08	0.16	3	0	0	3
47	202.25	2.81	2.00	-0.08	0.08	0.19	3	0	0	3
47	202.25	2.81	2.00	-0.08	0.05	0.26	3	0	0	3
46	202.25	2.75	2.00	-0.07	0.07	0.26	3	0	0	3
47	202.25	2.69	2.00	-0.07	0.06	0.28	3	0	0	3
47	202.31	2.63	2.00	-0.09	0.05	0.24	3	0	0	3
46	202.31	2.63	2.00	-0.08	0.05	0.21	3	0	0	3
47	202.25	2.63	2.06	-0.08	0.07	0.21	3	0	0	3
47	202.25	2.63	2.06	-0.11	0.06	0.17	3	0	0	3
47	202.25	2.63	2.06	-0.09	0.05	0.18	3	0	0	3
47	202.25	2.50	2.06	-0.09	0.05	0.18	3	0	0	3
47	202.25	2.50	2.00	-0.10	0.05	0.16	3	0	0	3
47	202.25	2.50	2.00	-0.12	0.05	0.11	3	0	0	3
46	202.19	2.50	2.06	-0.09	0.06	0.14	3	0	0	3
47	202.25	2.44	2.00	-0.13	0.08	0.10	3	0	0	3
47	202.19	2.31	2.19	-0.11	0.07	0.13	3	0	0	3
46	202.19	2.25	2.19	-0.12	0.06	0.17	3	0	0	3
47	202.19	2.13	2.13	-0.10	0.04	0.21	3	0	0	3
47	202.19	2.13	2.13	-0.11	0.04	0.22	3	0	0	3
47	202.19	2.13	2.06	-0.09	-0.00	0.22	3	0	0	3
48	202.19	2.13	2.06	-0.11	0.01	0.22	3	0	0	3
47	202.13	2.13	1.94	-0.09	0.03	0.20	3	0	0	3
47	202.13	2.13	1.88	-0.11	0.04	0.22	3	0	0	3
46	202.13	2.19	2.00	-0.10	0.03	0.18	3	0	0	3
47	202.06	2.25	2.00	-0.08	0.05	0.20	3	0	0	3
47	202.13	2.19	1.94	-0.09	0.04	0.17	3	0	0	3
